﻿NAME,TYPE EN,SUBTYPE EN,BLOCK,POINT_X_Longitude,POINT_Y_Latitude,location
BENNIGAN'S,RESTAURANTS,AMERICAN RESTAURANTS,502,50.49796052,26.23059922,"26.2305992199999, 50.4979605199999"
CHILIS,RESTAURANTS,AMERICAN RESTAURANTS,351,50.55280613,26.22924136,"26.22924136, 50.55280613"
CHILIS,RESTAURANTS,AMERICAN RESTAURANTS,646,50.59001126,26.12633969,"26.12633969, 50.5900112599999"
CHILIS,RESTAURANTS,AMERICAN RESTAURANTS,925,50.57365142,26.12644475,"26.12644475, 50.5736514199999"
FUDDRECKERS,RESTAURANTS,AMERICAN RESTAURANTS,428,50.53767601,26.23161925,"26.23161925, 50.5376760099999"
JOHNNY ROCKETS,RESTAURANTS,AMERICAN RESTAURANTS,257,50.66365747,26.28835161,"26.2883516099999, 50.6636574699999"
PONDEROSA STEAKHOUSE,RESTAURANTS,AMERICAN RESTAURANTS,428,50.54023085,26.2317036,"26.2317035999999, 50.54023085"
T.G.I. FRIDAYS RESTAURANT,RESTAURANTS,AMERICAN RESTAURANTS,240,50.62565409,26.25461928,"26.25461928, 50.6256540899999"
TONY ROMA'S,RESTAURANTS,AMERICAN RESTAURANTS,925,50.57433298,26.12931681,"26.1293168099999, 50.57433298"
ABU ALWALEED RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,215,50.61179628,26.24542424,"26.2454242399999, 50.61179628"
ABUFALAFEL SANDWICHES,RESTAURANTS,ARABIC RESTAURANTS,210,50.61773186,26.25532952,"26.25532952, 50.6177318599999"
AL AHALI SANDWICHES,RESTAURANTS,ARABIC RESTAURANTS,106,50.65718609,26.24113308,"26.24113308, 50.65718609"
AL AHALI SANDWICHES,RESTAURANTS,ARABIC RESTAURANTS,321,50.58938431,26.22631978,"26.22631978, 50.58938431"
AL AHALI SANDWICHES,RESTAURANTS,ARABIC RESTAURANTS,1203,50.49867298,26.14144164,"26.14144164, 50.49867298"
AL AYAM PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,541,50.45767246,26.20973606,"26.20973606, 50.4576724599999"
AL BAWARQ RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,931,50.57923797,26.12552954,"26.1255295399999, 50.57923797"
AL DAR RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,320,50.59846246,26.23120752,"26.23120752, 50.59846246"
AL FARHAN GRILLS,RESTAURANTS,ARABIC RESTAURANTS,1033,50.48611856,26.09772037,"26.09772037, 50.48611856"
AL FRAN PASTRIES & SHAWARMA,RESTAURANTS,ARABIC RESTAURANTS,1025,50.48219458,26.11449483,"26.11449483, 50.4821945799999"
AL MANAZEL GRILLS,RESTAURANTS,ARABIC RESTAURANTS,644,50.60046538,26.13295168,"26.13295168, 50.60046538"
AL NAIM GRILLS,RESTAURANTS,ARABIC RESTAURANTS,242,50.63235905,26.25474274,"26.25474274, 50.6323590499999"
AL NAIM GRILLS,RESTAURANTS,ARABIC RESTAURANTS,738,50.52132788,26.1585004,"26.1585004, 50.52132788"
AL PATA AL MAREHA PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,1046,50.5064114,26.06287222,"26.0628722199999, 50.5064113999999"
