Name,Type,Subtype,Block,X Longitude,Y Latitude,Location
AL RAED FURNITURE,SHOPPING,FURNITURE SHOPS,204,50.61687424,26.25792538,"26.25792538, 50.61687424"
ALAMANA FURNISHING,SHOPPING,FURNITURE SHOPS,204,50.61696792,26.25769113,"26.25769113, 50.61696792"
FADAK FURNITURE,SHOPPING,FURNITURE SHOPS,206,50.61667215,26.25795289,"26.25795289, 50.61667215"
AL SEEF AND ALDARA FURNITURE 2,SHOPPING,FURNITURE SHOPS,207,50.60640804,26.25587395,"26.25587395, 50.60640804"
AL MAAʻALI UPHOLSTERY,SHOPPING,FURNITURE SHOPS,208,50.61732578,26.25548206,"26.25548206, 50.61732578"
HASAN DARWISH UPHOLSTERY,SHOPPING,FURNITURE SHOPS,208,50.61829066,26.25170015,"26.25170015, 50.61829066"
ALAAJ FURNITURE SHOWROOM,SHOPPING,FURNITURE SHOPS,210,50.61702586,26.24858796,"26.24858796, 50.61702586"
FALCON CARPET EST,SHOPPING,FURNITURE SHOPS,210,50.61751309,26.2557182,"26.2557182, 50.61751309"
CHINEESS BAHRAIN TRADING CENTRE,SHOPPING,FURNITURE SHOPS,212,50.61932804,26.25048394,"26.25048394, 50.61932804"
AL BAHAʻI PERSIAN CARPET,SHOPPING,FURNITURE SHOPS,212,50.6200135,26.25546777,"26.25546777, 50.6200135"
ALKHABEER FURNITURE,SHOPPING,FURNITURE SHOPS,216,50.61700382,26.2481478,"26.2481478, 50.61700382"
DANA CURTAINS AND UPHOLSTERY,SHOPPING,FURNITURE SHOPS,225,50.6069214,26.27128399,"26.27128399, 50.6069214"
SYDNEY KITCHENS,SHOPPING,FURNITURE SHOPS,243,50.64315877,26.25980246,"26.25980246, 50.64315877"
AL ATLAS FURNITURE,SHOPPING,FURNITURE SHOPS,243,50.64488218,26.25894686,"26.25894686, 50.64488218"
CARPET HOUSE,SHOPPING,FURNITURE SHOPS,304,50.57627013,26.23248402,"26.23248402, 50.57627013"
RAMEE FURNITURE,SHOPPING,FURNITURE SHOPS,307,50.58634953,26.23074943,"26.23074943, 50.58634953"
DECOR 8,SHOPPING,FURNITURE SHOPS,316,50.57813574,26.23630286,"26.23630286, 50.57813574"
ADAM TRADING CENTER FURNITURE,SHOPPING,FURNITURE SHOPS,323,50.58911961,26.23130786,"26.23130786, 50.58911961"
CARPET HOUSE,SHOPPING,FURNITURE SHOPS,327,50.58699199,26.21319462,"26.21319462, 50.58699199"
PEACOCK CARPET CENTRE,SHOPPING,FURNITURE SHOPS,327,50.58732095,26.21334514,"26.21334514, 50.58732095"
SMART HOME,SHOPPING,FURNITURE SHOPS,330,50.57248092,26.21084143,"26.21084143, 50.57248092"
ATELIER AL QALDARI FURNISHING,SHOPPING,FURNITURE SHOPS,331,50.57515028,26.20393234,"26.20393234, 50.57515028"
FAREED ALUMINUM CENTER,SHOPPING,FURNITURE SHOPS,331,50.57575245,26.20595629,"26.20595629, 50.57575245"
AL TAHANI HAND MADE CARPETS CENTER,SHOPPING,FURNITURE SHOPS,338,50.59062229,26.21481449,"26.21481449, 50.59062229"
LA MAISON COLONIALE SIA AND FLAMANT,SHOPPING,FURNITURE SHOPS,346,50.55547346,26.23275958,"26.23275958, 50.55547346"
AʻALI FURNITURE,SHOPPING,FURNITURE SHOPS,358,50.55971655,26.21333335,"26.21333335, 50.55971655"
KHALIL ABBAS KITCHENS,SHOPPING,FURNITURE SHOPS,364,50.5586951,26.2003148,"26.2003148, 50.5586951"
EURO BLINDS,SHOPPING,FURNITURE SHOPS,368,50.53507794,26.19940268,"26.19940268, 50.53507794"
SOLA FURNITURE,SHOPPING,FURNITURE SHOPS,368,50.53723287,26.20429987,"26.20429987, 50.53723287"
SARAH FURNISHING,SHOPPING,FURNITURE SHOPS,411,50.54389092,26.21067427,"26.21067427, 50.54389092"
HOME BASE,SHOPPING,FURNITURE SHOPS,412,50.53671856,26.22726462,"26.22726462, 50.53671856"
AL ZAHRA' FURNISHING,SHOPPING,FURNITURE SHOPS,450,50.51465347,26.21833601,"26.21833601, 50.51465347"
D.HAUS FURNISHING,SHOPPING,FURNITURE SHOPS,579,50.4835917,26.17160156,"26.17160156, 50.4835917"
GULF INTERIORS,SHOPPING,FURNITURE SHOPS,604,50.60274188,26.17242915,"26.17242915, 50.60274188"
